num__capital_prestado,num__plazo_meses,num__edad_cliente,num__salario_cliente,num__total_otros_prestamos,num__cuota_pactada,num__cant_creditosvigentes,num__creditos_sectorFinanciero,num__creditos_sectorCooperativo,num__creditos_sectorReal,num__promedio_ingresos_datacredito,cat__tipo_laboral_Empleado,cat__tipo_laboral_Independiente
2389440.0,24.0,35.0,1000000.0,100000.0,104697.0,3.0,1.0,0.0,2.0,1210000.0,0.0,1.0
2314034.4,11.0,21.0,3932000.0,2482000.0,187857.0,4.0,1.0,0.0,2.0,1210000.0,0.0,1.0
2794068.0,11.0,38.0,3100000.0,1000000.0,217634.0,8.0,1.0,2.0,5.0,1210000.0,1.0,0.0
870704.4,12.0,28.0,6400000.0,0.0,71862.0,12.0,5.0,1.0,2.0,1110482.0,1.0,0.0
2294539.1999999997,10.0,28.0,3420000.0,755000.0,201310.0,3.0,2.0,0.0,0.0,1250000.0,0.0,1.0
998644.7999999999,24.0,31.0,1200000.0,800000.0,43690.0,2.0,0.0,1.0,0.0,1011788.0,1.0,0.0
2054280.0,12.0,36.0,2000000.0,400000.0,142658.0,1.0,1.0,0.0,0.0,1625000.0,1.0,0.0
1580280.0,6.0,22.0,1600000.0,500000.0,234308.0,3.0,1.0,0.0,1.0,849872.0,1.0,0.0
1225080.0,12.0,61.0,3600000.0,1200000.0,96417.0,11.0,6.0,1.0,2.0,2251832.0,1.0,0.0
912000.0,6.0,21.0,1500000.0,100000.0,135917.0,1.0,0.0,0.0,1.0,908526.0,0.0,1.0
1269000.0,2.0,50.0,5000000.0,2000000.0,500357.0,4.0,1.0,0.0,2.0,908526.0,0.0,1.0
2310025.1999999997,11.0,32.0,3500000.0,1500000.0,179726.0,3.0,1.0,0.0,1.0,908526.0,0.0,1.0
1466938.8,10.0,34.0,3000000.0,2000000.0,124615.0,6.0,5.0,0.0,0.0,3212633.0,1.0,0.0
3296280.0,18.0,45.0,1500000.0,400000.0,184839.0,7.0,4.0,0.0,0.0,954263.0,1.0,0.0
939480.0,6.0,57.0,3500000.0,2000000.0,139538.0,4.0,3.0,0.0,1.0,1210000.0,0.0,1.0
4680000.0,6.0,40.0,3000000.0,1500000.0,693362.0,4.0,0.0,0.0,1.0,908526.0,1.0,0.0
3100260.0,6.0,23.0,4000000.0,2000000.0,460892.0,5.0,3.0,0.0,1.0,733333.0,0.0,1.0
941878.7999999999,12.0,52.0,1390000.0,400000.0,65408.0,6.0,6.0,0.0,0.0,1277250.0,1.0,0.0
1126878.0,12.0,60.0,1000000.0,100000.0,88459.0,1.0,0.0,0.0,1.0,1043654.0,1.0,0.0
843304.7999999999,11.0,69.0,3300000.0,1400000.0,65686.0,4.0,3.0,0.0,1.0,4616436.0,0.0,1.0
1905153.5999999999,6.0,46.0,5000000.0,2000000.0,282256.0,8.0,0.0,3.0,0.0,1210000.0,0.0,1.0
1459894.8,10.0,21.0,1500000.0,800000.0,124603.0,1.0,0.0,0.0,0.0,1210000.0,1.0,0.0
2553742.8,11.0,46.0,3000000.0,2000000.0,201192.0,6.0,5.0,0.0,1.0,3846626.0,1.0,0.0
